SD #,County,County Pop. in SD,% of SD in County
1,Providence,28161,1
2,Providence,28079,1
3,Providence,28398,1
4,Providence,28201,1
5,Providence,28356,1
6,Providence,27211,1
7,Providence,28400,1
8,Providence,27142,1
9,Kent,27765,1
10,Bristol,18777,0.695
10,Newport,8241,0.305
11,Bristol,7725,0.285
11,Newport,19368,0.715
12,Newport,27220,1
13,Newport,28059,1
14,Providence,27185,1
15,Providence,27093,1
16,Providence,27169,1
17,Providence,27013,1
18,Providence,27011,1
19,Providence,27161,1
20,Providence,27149,1
21,Kent,12319,0.452
21,Providence,14935,0.548
22,Providence,28320,1
23,Providence,28176,1
24,Providence,27014,1
25,Providence,28088,1
26,Providence,27254,1
27,Kent,1426,0.051
27,Providence,26719,0.949
28,Providence,27763,1
29,Kent,27499,1
30,Kent,27583,1
31,Kent,27590,0.974
31,Providence,748,0.026
32,Bristol,23373,0.856
32,Providence,3921,0.144
33,Kent,28277,1
34,Kent,1269,0.045
34,Washington,26965,0.955
35,Kent,12430,0.44
35,Washington,15801,0.56
36,Washington,27665,1
37,Washington,28284,1
38,Washington,28264,1
